freq_hz,magnitude
3.746777343750000000e+03,2.057225425181691806e-20
3.757543945312500000e+03,2.022007266377679626e-20
3.768310546875000000e+03,1.987789359192112546e-20
3.779077148437500000e+03,1.953783818705006186e-20
3.789843750000000000e+03,1.920891327714526737e-20
3.800610351562500000e+03,1.888333276882957041e-20
3.811376953125000000e+03,1.856595747938546636e-20
3.822143554687500000e+03,1.825433167560033621e-20
3.832910156250000000e+03,1.794780015949984470e-20
3.843676757812500000e+03,1.764913798623975223e-20
3.854443359375000000e+03,1.735455342679768609e-20
3.865209960937500000e+03,1.706682391687277923e-20
3.875976562500000000e+03,1.678382233608934744e-20
3.886743164062500000e+03,1.650640919877033843e-20
3.897509765625000000e+03,1.623544523252845674e-20
3.908276367187500000e+03,1.596837704540107839e-20
3.919042968750000000e+03,1.570612869235933470e-20
3.929809570312500000e+03,1.545037130342414307e-20
3.940576171875000000e+03,1.519812500258496771e-20
3.951342773437500000e+03,1.495178265792794145e-20
3.962109375000000000e+03,1.470907353034048513e-20
3.972875976562500000e+03,1.447181064169493821e-20
3.983642578125000000e+03,1.423749262658019932e-20
3.994409179687500000e+03,1.401021317702708277e-20
4.005175781250000000e+03,1.378426466851023241e-20
4.015942382812500000e+03,1.356480528275402221e-20
4.026708984375000000e+03,1.334754722630848617e-20
4.037475585937500000e+03,1.313637178303394917e-20
4.048242187500000000e+03,1.292694409505627843e-20
4.059008789062500000e+03,1.272317149632128741e-20
4.069775390625000000e+03,1.252218392765924184e-20
4.080541992187500000e+03,1.232504322553814099e-20
4.091308593750000000e+03,1.213167422401219163e-20
4.102075195312500000e+03,1.194155764590082521e-20
4.112841796875000000e+03,1.175528851046112331e-20
4.123608398437500000e+03,1.157223968416608724e-20
4.134375000000000000e+03,1.139235378340803354e-20
4.145141601562500000e+03,1.121577384650671541e-20
4.155908203125000000e+03,1.104260630827056199e-20
4.166674804687500000e+03,1.087231620057068572e-20
4.177441406250000000e+03,1.070492216558957944e-20
4.188208007812500000e+03,1.054092248716040217e-20
4.198974609375000000e+03,1.037991263357317554e-20
4.209741210937500000e+03,1.022109746679798326e-20
4.220507812500000000e+03,1.006583999527441672e-20
4.231274414062500000e+03,9.912946535879239375e-21
4.242041015625000000e+03,9.762593339539368885e-21
4.252807617187500000e+03,9.615319916539495374e-21
4.263574218750000000e+03,9.470466403612441668e-21
4.274340820312500000e+03,9.328110577682514085e-21
4.285107421875000000e+03,9.188076871983126282e-21
4.295874023437500000e+03,9.050826033285790812e-21
4.306640625000000000e+03,8.915805446212705432e-21
4.317407226562500000e+03,8.782954522751403219e-21
4.328173828125000000e+03,8.652821324232504746e-21
4.338940429687500000e+03,8.524417922203253826e-21
4.349707031250000000e+03,8.398647800678069551e-21
4.360473632812500000e+03,8.274903808194159087e-21
4.371240234375000000e+03,8.153170839085694094e-21
